L0,L0_Sources,L1,L2,L3,TAM_L2
Real Estate,CBRE; JLL; Cushman & Wakefield; Savills; NAREIT; Urban Land Institute,Residential,Single-Family Residential,Owner-Occupied,~40–45T USD
Real Estate,CBRE; JLL; Cushman & Wakefield; Savills; NAREIT; Urban Land Institute,Residential,Single-Family Residential,Buy-to-Rent,~40–45T USD
Real Estate,CBRE; JLL; Cushman & Wakefield; Savills; NAREIT; Urban Land Institute,Residential,Single-Family Residential,Institutional Rental,~40–45T USD
Real Estate,CBRE; JLL; Cushman & Wakefield; Savills; NAREIT; Urban Land Institute,Residential,Single-Family Residential,Short-Term Rental,~40–45T USD
Real Estate,CBRE; JLL; Cushman & Wakefield; Savills; NAREIT; Urban Land Institute,Residential,Multi-Family Residential,Market-Rate Rental,~15–20T USD
Real Estate,CBRE; JLL; Cushman & Wakefield; Savills; NAREIT; Urban Land Institute,Residential,Multi-Family Residential,Affordable Housing,~15–20T USD
Real Estate,CBRE; JLL; Cushman & Wakefield; Savills; NAREIT; Urban Land Institute,Residential,Multi-Family Residential,Student Housing,~15–20T USD
Real Estate,CBRE; JLL; Cushman & Wakefield; Savills; NAREIT; Urban Land Institute,Residential,Multi-Family Residential,Senior Housing,~15–20T USD
Real Estate,CBRE; JLL; Cushman & Wakefield; Savills; NAREIT; Urban Land Institute,Residential,Multi-Family Residential,Build-to-Rent,~15–20T USD
Real Estate,CBRE; JLL; Cushman & Wakefield; Savills; NAREIT; Urban Land Institute,Residential,Multi-Family Residential,Institutional MF,~15–20T USD
Real Estate,CBRE; JLL; Cushman & Wakefield; Savills; NAREIT; Urban Land Institute,Residential,Multi-Family Residential,Small Private MF,~15–20T USD
Real Estate,CBRE; JLL; Cushman & Wakefield; Savills; NAREIT; Urban Land Institute,Residential,Specialized Residential,Co-Living,~2–4T USD
Real Estate,CBRE; JLL; Cushman & Wakefield; Savills; NAREIT; Urban Land Institute,Residential,Specialized Residential,Micro-Apartments,~2–4T USD
Real Estate,CBRE; JLL; Cushman & Wakefield; Savills; NAREIT; Urban Land Institute,Residential,Specialized Residential,Gated Communities,~2–4T USD
Real Estate,CBRE; JLL; Cushman & Wakefield; Savills; NAREIT; Urban Land Institute,Commercial (Office),CBD / Urban Office,Grade A Institutional,~30–35T USD
Real Estate,CBRE; JLL; Cushman & Wakefield; Savills; NAREIT; Urban Land Institute,Commercial (Office),CBD / Urban Office,Multi-Tenant Office,~30–35T USD
Real Estate,CBRE; JLL; Cushman & Wakefield; Savills; NAREIT; Urban Land Institute,Commercial (Office),CBD / Urban Office,Owner-Occupied Office,~30–35T USD
Real Estate,CBRE; JLL; Cushman & Wakefield; Savills; NAREIT; Urban Land Institute,Commercial (Office),Suburban Office,Campus-Style Office,~20–25T USD
Real Estate,CBRE; JLL; Cushman & Wakefield; Savills; NAREIT; Urban Land Institute,Commercial (Office),Suburban Office,Low-Rise Office,~20–25T USD
Real Estate,CBRE; JLL; Cushman & Wakefield; Savills; NAREIT; Urban Land Institute,Commercial (Office),Flex / Business Park Office,Flex Office,~8–10T USD
Real Estate,CBRE; JLL; Cushman & Wakefield; Savills; NAREIT; Urban Land Institute,Commercial (Office),Flex / Business Park Office,Hybrid Office-Industrial,~8–10T USD
Real Estate,CBRE; JLL; Cushman & Wakefield; Savills; NAREIT; Urban Land Institute,Industrial / Warehousing,Logistics / Distribution,Regional Distribution Center,~20–25T USD
Real Estate,CBRE; JLL; Cushman & Wakefield; Savills; NAREIT; Urban Land Institute,Industrial / Warehousing,Logistics / Distribution,National Distribution Hub,~20–25T USD
Real Estate,CBRE; JLL; Cushman & Wakefield; Savills; NAREIT; Urban Land Institute,Industrial / Warehousing,Logistics / Distribution,Cold Storage,~20–25T USD
Real Estate,CBRE; JLL; Cushman & Wakefield; Savills; NAREIT; Urban Land Institute,Industrial / Warehousing,Warehousing,General Warehousing,~15–18T USD
Real Estate,CBRE; JLL; Cushman & Wakefield; Savills; NAREIT; Urban Land Institute,Industrial / Warehousing,Warehousing,Bulk Storage,~15–18T USD
Real Estate,CBRE; JLL; Cushman & Wakefield; Savills; NAREIT; Urban Land Institute,Industrial / Warehousing,Light Industrial,Manufacturing-Adjacent,~12–15T USD
Real Estate,CBRE; JLL; Cushman & Wakefield; Savills; NAREIT; Urban Land Institute,Industrial / Warehousing,Light Industrial,Assembly / Workshop,~12–15T USD
Real Estate,CBRE; JLL; Cushman & Wakefield; Savills; NAREIT; Urban Land Institute,Industrial / Warehousing,Last-Mile Logistics,Urban Last-Mile,~4–6T USD
Real Estate,CBRE; JLL; Cushman & Wakefield; Savills; NAREIT; Urban Land Institute,Industrial / Warehousing,Last-Mile Logistics,E-Commerce Fulfillment,~4–6T USD
Real Estate,CBRE; JLL; Cushman & Wakefield; Savills; NAREIT; Urban Land Institute,Retail / Shopping Centers,High Street / Street Retail,Prime High Street,~15–20T USD
Real Estate,CBRE; JLL; Cushman & Wakefield; Savills; NAREIT; Urban Land Institute,Retail / Shopping Centers,High Street / Street Retail,Secondary Street Retail,~15–20T USD
Real Estate,CBRE; JLL; Cushman & Wakefield; Savills; NAREIT; Urban Land Institute,Retail / Shopping Centers,Shopping Malls,Regional Mall,~12–15T USD
Real Estate,CBRE; JLL; Cushman & Wakefield; Savills; NAREIT; Urban Land Institute,Retail / Shopping Centers,Shopping Malls,Super-Regional Mall,~12–15T USD
Real Estate,CBRE; JLL; Cushman & Wakefield; Savills; NAREIT; Urban Land Institute,Retail / Shopping Centers,Power Centers,Big-Box Retail,~8–10T USD
Real Estate,CBRE; JLL; Cushman & Wakefield; Savills; NAREIT; Urban Land Institute,Retail / Shopping Centers,Power Centers,Anchored Retail,~8–10T USD
Real Estate,CBRE; JLL; Cushman & Wakefield; Savills; NAREIT; Urban Land Institute,Retail / Shopping Centers,Neighborhood / Community Centers,Convenience Retail,~6–8T USD
Real Estate,CBRE; JLL; Cushman & Wakefield; Savills; NAREIT; Urban Land Institute,Retail / Shopping Centers,Neighborhood / Community Centers,Daily-Needs Retail,~6–8T USD
Real Estate,CBRE; JLL; Cushman & Wakefield; Savills; NAREIT; Urban Land Institute,Land / Development,Raw / Undeveloped Land,Greenfield Land,~20–25T USD
Real Estate,CBRE; JLL; Cushman & Wakefield; Savills; NAREIT; Urban Land Institute,Land / Development,Raw / Undeveloped Land,Agricultural Conversion,~20–25T USD
Real Estate,CBRE; JLL; Cushman & Wakefield; Savills; NAREIT; Urban Land Institute,Land / Development,Entitled Land,Shovel-Ready Land,~15–18T USD
Real Estate,CBRE; JLL; Cushman & Wakefield; Savills; NAREIT; Urban Land Institute,Land / Development,Entitled Land,Partially Entitled Land,~15–18T USD
Real Estate,CBRE; JLL; Cushman & Wakefield; Savills; NAREIT; Urban Land Institute,Land / Development,Infill Development,Urban Infill,~10–12T USD
Real Estate,CBRE; JLL; Cushman & Wakefield; Savills; NAREIT; Urban Land Institute,Land / Development,Infill Development,Brownfield Redevelopment,~10–12T USD
Real Estate,CBRE; JLL; Cushman & Wakefield; Savills; NAREIT; Urban Land Institute,Land / Development,Mixed-Use Development Sites,Mixed-Use Urban,~8–10T USD
Real Estate,CBRE; JLL; Cushman & Wakefield; Savills; NAREIT; Urban Land Institute,Land / Development,Mixed-Use Development Sites,Transit-Oriented Development,~8–10T USD
Real Estate,CBRE; JLL; Cushman & Wakefield; Savills; NAREIT; Urban Land Institute,Specialty Real Estate,Hospitality,Hotels,~6–8T USD
Real Estate,CBRE; JLL; Cushman & Wakefield; Savills; NAREIT; Urban Land Institute,Specialty Real Estate,Hospitality,Resorts,~6–8T USD
Real Estate,CBRE; JLL; Cushman & Wakefield; Savills; NAREIT; Urban Land Institute,Specialty Real Estate,Healthcare Real Estate,Medical Office Buildings,~8–10T USD
Real Estate,CBRE; JLL; Cushman & Wakefield; Savills; NAREIT; Urban Land Institute,Specialty Real Estate,Healthcare Real Estate,Senior Care Facilities,~8–10T USD
Real Estate,CBRE; JLL; Cushman & Wakefield; Savills; NAREIT; Urban Land Institute,Specialty Real Estate,Data Centers,Enterprise Data Centers,~3–4T USD
Real Estate,CBRE; JLL; Cushman & Wakefield; Savills; NAREIT; Urban Land Institute,Specialty Real Estate,Data Centers,Hyperscale Data Centers,~3–4T USD
Real Estate,CBRE; JLL; Cushman & Wakefield; Savills; NAREIT; Urban Land Institute,Specialty Real Estate,Life Sciences / Lab,Research Labs,~2–3T USD
Real Estate,CBRE; JLL; Cushman & Wakefield; Savills; NAREIT; Urban Land Institute,Specialty Real Estate,Life Sciences / Lab,Biotech Campuses,~2–3T USD
Real Estate,CBRE; JLL; Cushman & Wakefield; Savills; NAREIT; Urban Land Institute,Specialty Real Estate,Self-Storage,Urban Self-Storage,~1–2T USD
Real Estate,CBRE; JLL; Cushman & Wakefield; Savills; NAREIT; Urban Land Institute,Specialty Real Estate,Self-Storage,Suburban Self-Storage,~1–2T USD
Real Estate,CBRE; JLL; Cushman & Wakefield; Savills; NAREIT; Urban Land Institute,Specialty Real Estate,Manufactured Housing,Manufactured Home Communities,~2–3T USD
